Ref,Val,Package,PosX,PosY,Rot,Side
"C3","10uF","C_0805_2012Metric",87.000000,-67.500000,180.000000,bottom
"C4","100nF","C_0805_2012Metric",68.500000,-63.500000,0.000000,bottom
"C5","100nF","C_0805_2012Metric",63.000000,-56.000000,180.000000,bottom
"R3","4.7k","R_0805_2012Metric",68.500000,-65.500000,0.000000,bottom
"R4","4.7k","R_0805_2012Metric",72.500000,-65.500000,180.000000,bottom
"R5","10k","R_0805_2012Metric",72.500000,-63.500000,180.000000,bottom
"R6","10k","R_0805_2012Metric",88.587500,-63.500000,180.000000,bottom
"U1","TCA9548APWR","TSSOP-24_4.4x7.8mm_P0.65mm",78.500000,-62.862500,90.000000,bottom
"U2","TCA9548APWR","TSSOP-24_4.4x7.8mm_P0.65mm",61.956610,-64.137501,-90.000000,bottom
